x=0.5, n=14, |dx| = 0.25
i,p_i,q_i
0,2.3560656882169370806034638432080617001584763698141064346270260076e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,6.3475241091813219978810126588475666737147683075254923877953232485e-1,1.6254777059262186832761483301313918462283492225277433002344627727e0
2,1.2985997693073089787689000606637518709204041387306586362475692920e0,-7.6151946119826326708714641074399034101198532680981549894064011867e-1
3,3.0442777986925550921562569728933376041332565333497346533104996647e-1,7.9855280442368748701310092479843436567099998533141270490614751766e-2
4,3.2560803032425167666475902433968889062702068287777692342583360636e-1,2.2085617831639595822725772201656943682693693804120568756070940679e-1
5,6.5608427024257585498742656604372030719551170195612587594433389900e-2,1.0545875380496875314138295260178822814375632349524459650096987517e-2
6,4.8433259777861857258185604126142154088471337482971144431801890567e-2,-2.1425960356094376145877794881386091988950818288134602040810981700e-2
7,8.1858625978222581932619797822558518570302468678132841631249079921e-3,5.9769353831919892079789412394478634541373464904617770116637481782e-3
8,4.6444481259096473281392638806542756522099117066621036713921153942e-3,1.9892067193311801485238764748673026100178127712075312102370768763e-3
9,6.2842192042179480934979239191676157305301927170471065279362140313e-4,-2.2947704639340217098874322556933905851269239192706300048198255799e-4
10,2.8899338470481656185579635404759440197504394211475848401883476877e-4,-5.7208631820963905833286700305594758654964043865005439678319402272e-5
11,2.8404237552707355516556440434496715747170711139518215070467929498e-5,2.4210594831492750974582328454296111241967457989532691484319114032e-5
12,1.0876937127606861659026860218640201572830507012320794416797300563e-5,1.3546009467919615744405304855389577001195575614530100716814358272e-6
13,5.9719463495182211426975436163484775462110237099885592877427016049e-7,-3.2135566984090475130216008666946609837511124150201442255412204949e-7
14,1.9227966515371483492098456369225281842328561090987006818875735171e-7,6.9055426914718895951216904314515273664517699992029768134897974321e-9
relative error = 1.4671180576e-32

x=1, n=14, |dx| = 0.25
i,p_i,q_i
0,1.8584614116555019199285924523440848848720515632210478783694620544e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.0067002349380505724695623911773393775665669236315252975437763393e0,4.0014617767993629455466601596693586317253433368851047306752545226e-1
2,1.2092659643809306093922455333001039022361245958870378270082580795e0,-2.8444947492583557596569774007138296501490002201727266742345184433e-1
3,5.0943342726180488416100426216327055009438017277208605918985010620e-1,3.8367038179892568551919432779459654971126219114023517815044275877e-1
4,3.3723984667624918735577035987687473618712296087892732470164717127e-1,4.1099722284465827358895751494186679225964811098907399639412569315e-2
5,1.1381674339097434102009950976725413580112554493531863682509120652e-1,-1.9051117554644449680058168451057745983735848850504996519680893085e-2
6,5.3233558259457560376233229344851310183375851315225719169357222090e-2,1.3821816938643037676027229971925157905273168346864062098443442949e-2
7,1.4450999335824331285678164347437143250303439237661782135973162146e-2,4.9281104195666632153133860033529617130570784232002209102738055639e-3
8,5.1851679875581231737751279887091937189651890667092201605772218305e-3,-7.4034507759854823766356090267500007373730020957668743564986865941e-4
9,1.1059997027385440215368693403133561180468750879266138109079342219e-3,1.2151396071822013260899964751555873261583306850669931163823919039e-4
10,3.1233635425832614173282577318418226424793322411776607033841840251e-4,8.3313209574972071243848637005574879586105069320977261000239395999e-5
11,4.8655823902903886316225687589344872896688622059607744451854367587e-5,-1.2581629407960016463318249910506938583046514535221247211458722703e-6
12,1.0687665737592372235888218608287157517393031418980697750835292141e-5,-9.0165103918015790661082272282428003836663006843287008916830810576e-7
13,9.6644060250798097900895692373592238861278631736663674628012051269e-7,3.1701933737807938849445981797590569838361993577872391974136615221e-7
14,1.5532196548757075306588505642563897057969121190382320498644058485e-7,-5.6173127817035451863937929829368885188790064915783752259319207041e-9
relative error = 5.1048056113e-33

x=1.5, n=14, |dx| = 0.25
i,p_i,q_i
0,2.3350897118480533685553478486430242190342680254999287051265445628e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.9153712364088615128572871472824789825763842195380118718462116155e0,1.5534566462383975847199853776699127881440623193499764294863914212e-1
2,1.9195239393426047819334114566197701410165696975022868080284633420e0,2.7400315425907784484787402985594304702251585385832263517255984579e-1
3,1.0569807926042527525453690526428358975356150424237154655321447260e0,3.4981902339018897286880716470190135315907687368016567063258926492e-1
4,6.0893067486536343905365658183644301717239826628209801975811611916e-1,-9.7190626582903699214344601890472830312172219579827120939855352378e-3
5,2.4985198308086279338172839090348276972797388223199459906000164733e-1,4.7233262336270234183119181449811108606185594221857206361104978401e-2
6,1.0286249627440620038605081544122251932815742707843780652720838300e-1,1.8153920474020800916634693748678644726691691942788226685382638578e-2
7,3.2606617779472865840775783574360101390627875173231236426560831485e-2,7.0280648033356128987501457503960370870602308420039881954170556081e-4
8,1.0207208386006753237654144203005247956147250787690458029421478739e-2,1.0431128725810530198813517818484188008112599646793657462376067603e-3
9,2.4873739405191145583783473078392223814732218084450030038471674690e-3,4.2096174660450967880640902426484689861407649679931686507003277225e-4
10,5.9443857267048051912683239890885775531231929644133828531735813806e-4,3.8124659767778991947906927949098985802768258922274388738051081942e-7
11,1.0517565692617674308130972516409889546255400692360711338449462386e-4,7.0304502648627742198164464541798130185385205164068099448860928908e-6
12,1.8264442530256797905856845368927551993208905191533762632360848410e-5,2.1552456791274092227436195436578676265623063589224919024081865504e-6
13,1.9132097491354929152181167669127011023320766919613927306017018118e-6,-4.9155685834969690309572058678583115597027121282752283130689353027e-8
14,2.0449021837749141505404456249429404772906337223920090974262127593e-7,2.8214354612799227066617143164953885007505614842274230378434188403e-9
relative error = 3.1495382325e-33

x=2, n=14, |dx| = 0.25
i,p_i,q_i
0,3.3185063693964264648013886546902101445031320323230931495764948666e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,3.6828502114595211442096126559434767706124558114235472692174424168e0,4.2829788446570805014708799054602308746165515448291885748676365355e-1
2,3.5666255126783746181313633799327364046643355148380016555839821701e0,6.8143973152556219432764356672744407058612496166191991863949543621e-1
3,2.2819793814845960568860648519741434100181627481218181518181966831e0,3.2839104515905081673126118751568746630019456393636692163819394376e-1
4,1.2907170847946770435683884969117808059546292795698293958408738515e0,1.2569218079943563268552375887845428205118085125793964006613213009e-1
5,5.8016335894821767946044592366981605434648797664530698166292519844e-1,9.2323918464811733714892546602742144584157356424722328322215944165e-2
6,2.3345305702695728232759114178922981522259477927450550552917886558e-1,1.8500179752135040241158236836607932354103194991655163408386974605e-2
7,7.8464609485051546375777754587648700724739847970376945987828282363e-2,7.8164190020385408174807714754148205974146888366497786587281525738e-3
8,2.3644093205283362898234078518378986929613108445369762432116903573e-2,2.5309648300375098887217359413047982987589842753733440923584758631e-3
9,5.9730792575317262982808414162599079050563662187905767321587838200e-3,3.6680517389741446950262556670265732056304607983703681220653415076e-4
10,1.3362772036199456961823647920401253944357039819118709880731313167e-3,9.4209333819080660236853658111437511936338094513298186229767740308e-5
11,2.4091308841921221649863308989362749038715539676487221528243884599e-4,1.9640854319193502626166818868170856971158804524967644246126799402e-5
12,3.7038717346256397206509821182727518780947760715993465770876113961e-5,7.6005371464500992811240088567049601785570723416257598206361114512e-7
13,3.9190856485936059176042580530060515374310540704570509484379181822e-6,2.1290302337636113199192043418740884548246299797759509197337799117e-7
14,3.1312275594835896693310959388954200435998180731615113548811540959e-7,4.7797518099148273032995798612656842314212143372323749175485365297e-10
relative error = 1.9925221776e-33

x=2.5, n=14, |dx| = 0.25
i,p_i,q_i
0,4.4826219962810645114777912385181212887233124483413822728545075646e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,6.3405154852800885677448188140320041011735767622221829196768753682e0,8.9708779119761014253049583655184181567679893089253981621602176168e-1
2,6.3727377194282757626768280373191619749361923194077557456378135192e0,9.8328557084157300911528038787867344989288889127311773835175408479e-1
3,4.5150424644220099579330056531776873696197084281493388195015338695e0,5.4261152589164504809322661297934063735558406054552277357672468196e-1
4,2.6267250781919341708017230744099386816535439780179105725876739953e0,3.1160567186418802633390619790245929878162389466463461353593474810e-1
5,1.2485362046193523776026046557197657925411569970941525781403584855e0,1.3751795691789170887001793727328059090193583991710851762435717906e-1
6,5.0863200236373772446314927537439503873606304874250695423729766802e-1,4.6603692397447095400068904615987390184360338143107824454475989811e-2
7,1.7587953063015662433388451365900976955366494903432628545289000688e-1,1.7056629411974489371144518478721956241712423043380345611375191697e-2
8,5.2620151935631630806025071117987624867560867477983194902619108561e-2,4.0744936291725345007092209389233821158873300677122301945278451988e-3
9,1.3364061277141484370892230809077561926567285433588929948595703741e-2,9.8643726582706247676102515039127318044791346036180452003750343125e-4
10,2.8907892908589709710643572115085407198410317211720585436048171240e-3,1.9679850664856360675123144563640068720385553026690652960691854132e-4
11,5.1118252898372052220966586840901715932483723056136056004629795404e-4,2.6173534966064923926847411641262795475095204197366069968625595079e-5
12,7.2558294780295267235247137173638246602043047058573969193475639786e-5,3.2712106359825637424415173315798659274520825369764640545116934893e-6
13,7.2992493760362465079276594209183499990852151233520892571733188253e-6,2.3958977530997588302628647473727258247044989896868071401882942607e-7
14,4.6410181867851552345062501019426133515606414281262775585302850260e-7,-1.7332534659932596438357700747288530955614712131526528104845667282e-9
relative error = 9.9546999192e-34

x=3, n=14, |dx| = 0.25
i,p_i,q_i
0,5.6094363541575551936186587702241221194336296996129709574763543484e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,9.6761686458866915833965955825278071921336883377337069545314606783e0,1.3344169110213459219538392373850965493121415863183360586266429397e0
2,1.0420011504244022869658098213761150417166525896983792182491330813e1,1.3555624320667373389684558690795298875717838626283753772935984075e0
3,7.9922747935500691899334726518673586644182405294406295140737951588e0,9.1244284746490842948110709521605075953693418886272127337372535839e-1
4,4.8547314662874964363550929427759037174069051656812232873412402797e0,5.2339687376410408279531015620020735276565096648231704086481394349e-1
5,2.4061368021144574721075299019759097287459384430574919481999334263e0,2.3486090481249915500502641740870709701642652810062310775691616512e-1
6,1.0012049255548393359888382800161649986087387046080836443684982820e0,9.0648501463429436849470418664163475599452844416073000091915127076e-2
7,3.5209964999724577052247316264669977997736454023813228424978634791e-1,2.9480733260534419602576897057442111617767933515955360252879387994e-2
8,1.0528053294796537916692341054217480518027645854324885156167019166e-1,7.8672896081287545730919162844283420046731497815921913878806996805e-3
9,2.6558867334536808894583030201939086654000728294539941832741622281e-2,1.8386272072869213584586159877990588515898059404563574644499837334e-3
10,5.5928866981859246971938317422301309074373073889494466361281069272e-3,3.2986493306852138108177583216256907325519072480610235940626050085e-4
11,9.5467315643204529275135915011296847296026855833458085420359141349e-4,4.8657833670078486819688332448863809198082512455680940274256595528e-5
12,1.2659893747249953280531175029534347742603554098679132943992189050e-4,5.0406111649514389069019830686059421052261250449597337003287667565e-6
13,1.1760648275726458558265676487144715998643826317438063237681403539e-5,2.9302140580065217385488244608022898545078773869995501318781752744e-7
14,6.1804949440001751843194912556452391630011032504360229762689925746e-7,1.0124027639635077913064198214659052924267461712405396737188110681e-9
relative error = 3.3136706772e-34

x=3.5, n=13, |dx| = 0.25
i,p_i,q_i
0,6.6835272864676813766702376927537008614119301073607254311767036732e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.4616147048484098386800628156489860006395075175316368841719156077e1,1.8704184925644690687412005318219363522631608069560774873823629833e0
2,1.7743005308016304223406565094532132504250698948834303940730539328e1,2.0702998233954175694667325277445450483668522025297448060456708503e0
3,1.5014536182840938137509096736741261085704587185400986039100064465e1,1.6015637449027109651435285367607383888535540551239177507779419271e0
4,9.7268224586168068423243144543545056560792466152824671881973437715e0,9.5878591484826514225242646892521617912051146984329177056658309421e-1
5,5.0409331166945413343502523475348752985426908848736329087108516159e0,4.5785254416530036138958712121939899748006381820465694007076172767e-1
6,2.1382601999888902960819394550802300614377856630400966328085628722e0,1.7875902817802042478529183020048296078891807284825111656331771063e-1
7,7.4922769735006652133805612668531630571354978293089643171190482768e-1,5.7180671583381128543159825239059447660663935054644553678361494793e-2
8,2.1657104676119515475386051315282741914637910065396532157758292576e-1,1.4867423852937048473500785676709133674439612072119920990522383370e-2
9,5.1022569589198402748739448350026700745779876888661572484979106942e-2,3.0910712941704957568731416794572852900280662098176918207103953397e-3
10,9.5391185935724604911329408326725455583951445479316135173953162070e-3,4.8598871254461709664133978772792083693113851524147042344577365992e-4
11,1.3454957663410274950474467088413171592888231542497750410423934538e-3,5.3575612693309323161997838455909765371064118192762598059670313678e-5
12,1.2911093178119125123682924162197089675487927538033675253863550823e-4,3.1988670595884497665809890697985965672022892158378825169848277627e-6
13,6.4690432227211279122811936024645795718137516046821836776269421710e-6,1.7830941034243357241968493220159303882810803755616551524078991336e-9
relative error = 6.1965911169e-32

x=4, n=13, |dx| = 0.25
i,p_i,q_i
0,7.7310819683670651114925024297708646958520521992866025030448340851e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.7631749907411919475624826343073488477705589906897504516469228925e1,2.0117135771839151542161917480156182822136160150558987832781440781e0
2,2.1910157050287041166914898019911216176552086989493323219944701225e1,2.2964041846304530862907175285552457332606823521531507544377862305e0
3,1.8751907083341162182708164679171340091898305412855895549894665625e1,1.8134651751197429111528726571059407212619474556814082571114919558e0
4,1.2154371582896857557969938831644874957015276796635393133339370548e1,1.0901805008510590047397577101898255999346224787168896670047792148e0
5,6.2354627104800847674313397114660387852571222622451426340599941580e0,5.1740681292669607446927055041892016901322449887160821203025410041e-1
6,2.5896213114186080486767275843395125973870979427397054537967620349e0,1.9804245288183269838760720830842989536425702868367341042092903599e-1
7,8.7758060163257819173266586933398607041666027523311290446846207216e-1,6.1210549429883140211361509306217017521467698261220771651019454305e-2
8,2.4194624357658450512834122403394989091573921064295025188047158306e-1,1.5163867993997866704796017174407942848708197038663912692657435804e-2
9,5.3450534438271181339264078201499612850002394122890300683317276862e-2,2.9271056049046036068622259695027509256228694424510451341002402863e-3
10,9.1740901703806459036395733182722809388290581396693086332662572930e-3,4.1887557016709957047571715009161592225138058511738623999041857672e-4
11,1.1539796518807988895594619890661581339184727675955819404262375335e-3,3.9803743105421925085900485463300065350726936860612396585294488283e-5
12,9.4745781345747322740330120802772939935399645361282019573478205391e-5,1.8851395454057874986164005870199094834640590086428366289843321245e-6
13,3.7626293979965843465345393087449117459334869052235692481754994549e-6,-1.6622503924794603628799920982805401597058929895878940907349296792e-10
relative error = 5.7378113917e-33

